Profile Name,Country Iso Code,Device,Is Kids,Query Typed,Displayed Name,Action,Section,Utc Timestamp
Aniketh,US (United States),iPhone,0,bul,Bulbbul,view_video_info,title_results,26/06/20 2:15
Aniketh,US (United States),iPhone,0,out,Outlander,view_video_info,title_results,23/06/20 20:17
Aniketh,US (United States),Streaming Stick,0,hindi,Leila,view_video_info,suggestion_title_results,22/05/20 3:00
Aniketh,US (United States),Streaming Stick,0,hindi,She,play,video_info,22/05/20 3:00
Aniketh,US (United States),Streaming Stick,0,hindi,She,view_video_info,suggestion_title_results,22/05/20 3:00
Aniketh,US (United States),Streaming Stick,0,hindi,Guilty,play,video_info,22/05/20 3:00
Aniketh,US (United States),Streaming Stick,0,hindi,Guilty,view_video_info,suggestion_title_results,22/05/20 3:00
Aniketh,US (United States),iPhone,0,black,The Blacklist,view_video_info,title_results,7/5/20 2:31
Aniketh,US (United States),iPhone,0,design,Designated Survivor,view_video_info,title_results,7/5/20 2:30
Aniketh,US (United States),iPhone,0,how to,How to Get Away With Murder,play,video_info,7/5/20 2:28
Aniketh,US (United States),iPhone,0,how to,How to Get Away With Murder,view_video_info,title_results,7/5/20 2:27
Aniketh,US (United States),iPhone,0,bhism,,play,video_info,25/04/20 2:21
Aniketh,US (United States),iPhone,0,dark,Dark,view_video_info,title_results,20/04/20 3:53
Aniketh,US (United States),iPhone,0,dark,Dark,view_video_info,title_results,14/04/20 1:22
Aniketh,US (United States),iPad,0,fau,Fauda,play,video_info,1/4/20 1:53
Aniketh,US (United States),iPad,0,fau,Fauda,view_video_info,title_results,1/4/20 1:52
Aniketh,US (United States),iPhone,0,hindi movies,Bareilly Ki Barfi,view_video_info,title_results,28/03/20 3:33
Aniketh,US (United States),iPhone,0,hindi movies,Made in China,view_video_info,title_results,28/03/20 3:33
Aniketh,US (United States),iPhone,0,hindi movies,Game Over (Hindi Version),view_video_info,title_results,28/03/20 3:32
Aniketh,US (United States),iPhone,0,zambia,Zumbo's Just Desserts,view_video_info,title_results,26/03/20 1:51
Aniketh,US (United States),iPhone,0,kingdom,Rampant,view_video_info,title_results,25/03/20 5:17
Aniketh,US (United States),iPhone,0,kingdom,Kingdom,view_video_info,title_results,25/03/20 5:15
Aniketh,US (United States),iPhone,0,kingdom,Kingdom,view_video_info,title_results,25/03/20 5:14
Saurabh,UK (United Kingdom),iPad,0,ruhi,The Girl on the Train,play,video_info,8/5/21 2:46
Saurabh,UK (United Kingdom),iPad,0,ruhi,The Girl on the Train,view_video_info,title_results,8/5/21 2:46
Saurabh,UK (United Kingdom),iPad,0,ruhi,Roohi,view_video_info,title_results,8/5/21 2:45
Saurabh,UK (United Kingdom),iPhone,0,the call,The Call,view_video_info,title_results,25/04/21 17:41
Saurabh,UK (United Kingdom),iPad,0,self,Selfless,view_video_info,title_results,16/04/21 20:36
Saurabh,UK (United Kingdom),iPhone,0,stree,Stree,view_video_info,title_results,5/4/21 22:42
