Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Aniketh,10/05/21 5:40,0:30:36,,Shadow and Bone: Season 1: The Unsea (Episode 7),,iPhone 12 Pro,0:30:27,Not latest view,US (United States)
Aniketh,10/05/21 5:13,0:26:45,,Shadow and Bone: Season 1: The Heart is an Arrow (Episode 6),,iPhone 12 Pro,0:48:55,0:48:55,US (United States)
Aniketh,10/05/21 4:59,0:13:29,,Shadow and Bone: Season 1: The Heart is an Arrow (Episode 6),,iPhone 12 Pro,0:13:30,Not latest view,US (United States)
Aniketh,10/05/21 4:21,0:37:45,,Shadow and Bone: Season 1: Show Me Who You Are (Episode 5),,iPhone 12 Pro,0:52:56,0:52:56,US (United States)
Aniketh,08/05/21 22:48,0:02:03,,Shadow and Bone: Season 1: Show Me Who You Are (Episode 5),,iPhone 12 Pro,0:14:50,Not latest view,US (United States)
Aniketh,08/05/21 2:55,0:18:35,,Shadow and Bone: Season 1: Show Me Who You Are (Episode 5),,iPhone 12 Pro,0:18:35,Not latest view,US (United States)
Aniketh,08/05/21 2:25,0:23:42,,Shadow and Bone: Season 1: Otkazat’sya (Episode 4),,iPhone 12 Pro,0:45:34,0:45:34,US (United States)
Aniketh,08/05/21 1:07,0:08:57,,Shadow and Bone: Season 1: Otkazat’sya (Episode 4),,iPhone 12 Pro,0:20:22,Not latest view,US (United States)
Aniketh,07/05/21 19:09,0:04:20,,Shadow and Bone: Season 1: Otkazat’sya (Episode 4),,iPhone 12 Pro,0:11:44,Not latest view,US (United States)
Aniketh,07/05/21 19:06,0:00:04,,The Innocent: Limited Series: Episode 1,,iPhone 12 Pro,0:00:05,0:00:05,US (United States)
Aniketh,07/05/21 19:05,0:00:54,Autoplayed: user action: None; ,Teaser: The Innocent,TEASER_TRAILER,iPhone 12 Pro,0:00:54,0:00:54,US (United States)
Aniketh,07/05/21 19:04,0:00:13,Autoplayed: user action: None; ,The Sons of Sam: A Descent into Darkness: Teaser 2: Occult Focus,TEASER_TRAILER,iPhone 12 Pro,0:00:14,0:00:14,US (United States)
Aniketh,07/05/21 18:31,0:00:02,,Shadow and Bone: Season 1: Otkazat’sya (Episode 4),,iPhone 12 Pro,0:15:26,Not latest view,US (United States)
Aniketh,07/05/21 3:59,0:15:54,,Shadow and Bone: Season 1: Otkazat’sya (Episode 4),,iPhone 12 Pro,0:15:23,Not latest view,US (United States)
Aniketh,07/05/21 3:40,0:17:10,,Shadow and Bone: Season 1: The Making at the Heart of the World (Episode 3),,iPhone 12 Pro,0:42:19,0:42:19,US (United States)
Aniketh,06/05/21 23:11,0:08:41,Autoplayed: user action: User_Interaction; ,Shadow and Bone: Season 1: The Making at the Heart of the World (Episode 3),,FireTV 4K Stick 2018,0:26:45,Not latest view,US (United States)
Aniketh,06/05/21 22:06,0:14:08,,Shadow and Bone: Season 1: The Making at the Heart of the World (Episode 3),,iPhone 12 Pro,0:21:49,Not latest view,US (United States)
Aniketh,06/05/21 21:59,0:05:36,,Shadow and Bone: Season 1: The Making at the Heart of the World (Episode 3),,iPhone 12 Pro,0:08:10,Not latest view,US (United States)
Aniketh,06/05/21 21:56,0:02:18,,Shadow and Bone: Season 1: The Making at the Heart of the World (Episode 3),,iPhone 12 Pro,0:02:43,Not latest view,US (United States)
Aniketh,06/05/21 21:11,0:36:35,,Shadow and Bone: Season 1: We’re All Someone’s Monster (Episode 2),,iPhone 12 Pro,0:46:49,0:46:49,US (United States)
Aniketh,06/05/21 3:38,0:14:08,,Shadow and Bone: Season 1: We’re All Someone’s Monster (Episode 2),,iPhone 12 Pro,0:14:09,Not latest view,US (United States)
Aniketh,06/05/21 3:14,0:23:58,,Shadow and Bone: Season 1: A Searing Burst of Light (Episode 1),,iPhone 12 Pro,0:52:18,0:52:18,US (United States)
Aniketh,05/05/21 20:40,0:45:43,,Shadow and Bone: Season 1: A Searing Burst of Light (Episode 1),,Apple TV 3 (revised),0:45:43,Not latest view,US (United States)
Aniketh,05/05/21 20:33,0:00:12,,Shadow and Bone: Season 1: A Searing Burst of Light (Episode 1),,iPhone 12 Pro,0:00:13,Not latest view,US (United States)
Aniketh,05/05/21 20:33,0:00:14,Autoplayed: user action: None; ,Season 1 Teaser: Shadow and Bone,TEASER_TRAILER,iPhone 12 Pro,0:00:14,0:00:14,US (United States)
Aniketh,05/05/21 19:39,0:29:02,,It's Okay to Not Be Okay: Season 1: The Boy Who Fed On Nightmares (Episode 1),,Apple TV 3 (revised),0:31:52,0:31:52,US (United States)
Aniketh,05/05/21 19:35,0:03:07,,It's Okay to Not Be Okay: Season 1: The Boy Who Fed On Nightmares (Episode 1),,Apple TV 3 (revised),0:03:07,Not latest view,US (United States)
Aniketh,05/05/21 2:39,0:13:17,,Stranger: Season 2: Episode 16,,iPhone 12 Pro,1:07:19,1:07:19,US (United States)
Aniketh,05/05/21 1:55,0:00:18,Autoplayed: user action: None; ,It's Okay to Not Be Okay: Season 1_CLIP_MUSIC_1,HOOK,iPhone 12 Pro,0:00:18,0:00:18,US (United States)
Aniketh,05/05/21 1:54,0:00:04,Autoplayed: user action: None; ,Crash Landing on You: Season 1_CLIP_MUSIC_3,HOOK,iPhone 12 Pro,0:00:04,0:00:04,US (United States)
Aniketh,04/05/21 21:45,0:17:54,,Stranger: Season 2: Episode 16,,iPhone SE,0:53:37,Not latest view,US (United States)
Aniketh,04/05/21 20:21,0:27:21,,Stranger: Season 2: Episode 16,,iPhone 12 Pro,0:47:40,Not latest view,US (United States)
Aniketh,04/05/21 19:55,0:19:45,,Stranger: Season 2: Episode 16,,iPhone 12 Pro,0:20:09,Not latest view,US (United States)
Aniketh,04/05/21 19:52,0:02:44,,Stranger: Season 2: Episode 15,,iPhone 12 Pro,1:06:00,1:06:00,US (United States)
Aniketh,04/05/21 19:09,0:29:42,,Stranger: Season 2: Episode 15,,iPhone 12 Pro,1:03:15,Not latest view,US (United States)
Aniketh,04/05/21 1:31,0:18:14,,Stranger: Season 2: Episode 15,,iPhone 12 Pro,0:33:53,Not latest view,US (United States)
Aniketh,04/05/21 0:06,0:00:20,,Stranger: Season 2: Episode 15,,iPhone 12 Pro,0:16:19,Not latest view,US (United States)
Aniketh,03/05/21 2:33,0:13:59,,Stranger: Season 2: Episode 15,,Apple TV 3 (revised),0:16:19,Not latest view,US (United States)
Aniketh,02/05/21 22:31,0:01:32,,Stranger: Season 2: Episode 15,,iPhone 12 Pro,0:02:28,Not latest view,US (United States)
Aniketh,02/05/21 5:11,0:06:05,,Stranger: Season 2: Episode 15,,iPhone 12 Pro,0:06:39,Not latest view,US (United States)
Aniketh,02/05/21 5:06,0:05:03,,Stranger: Season 2: Episode 14,,iPhone 12 Pro,1:01:38,1:01:38,US (United States)
Aniketh,02/05/21 3:45,0:00:22,Autoplayed: user action: None; ,The Irregulars: Hook 2 Watson & Bea,HOOK,iPhone 12 Pro,0:00:22,0:00:22,US (United States)
Aniketh,02/05/21 3:14,0:00:07,Autoplayed: user action: None; ,The Irregulars: Hook 2 Watson & Bea,HOOK,iPhone 12 Pro,0:00:07,Not latest view,US (United States)
Aniketh,02/05/21 3:13,0:00:29,Autoplayed: user action: None; ,It's Okay to Not Be Okay: Season 1_CLIP_MUSIC_NON1,HOOK,iPhone 12 Pro,0:00:29,0:00:29,US (United States)
Aniketh,02/05/21 3:13,0:00:08,Autoplayed: user action: None; ,Trailer: Things Heard & Seen,TRAILER,iPhone 12 Pro,0:00:08,Not latest view,US (United States)
Aniketh,01/05/21 23:54,0:18:41,,Stranger: Season 2: Episode 14,,iPhone 12 Pro,0:56:45,Not latest view,US (United States)
Aniketh,01/05/21 22:43,0:07:10,,Stranger: Season 2: Episode 14,,iPhone 12 Pro,0:38:54,Not latest view,US (United States)
Aniketh,01/05/21 21:16,0:15:25,,Stranger: Season 2: Episode 14,,iPhone 12 Pro,0:31:44,Not latest view,US (United States)
Aniketh,01/05/21 20:29,0:15:48,,Stranger: Season 2: Episode 14,,iPhone 12 Pro,0:16:09,Not latest view,US (United States)
Aniketh,01/05/21 20:12,0:16:50,,Stranger: Season 2: Episode 13,,iPhone 12 Pro,0:58:45,0:58:45,US (United States)
Aniketh,01/05/21 15:17,0:03:19,,Stranger: Season 2: Episode 13,,iPhone 12 Pro,0:41:55,Not latest view,US (United States)
Aniketh,01/05/21 15:00,0:13:53,,Stranger: Season 2: Episode 13,,iPhone 12 Pro,0:38:46,Not latest view,US (United States)
Aniketh,01/05/21 14:24,0:23:15,,Stranger: Season 2: Episode 13,,iPhone 12 Pro,0:27:03,Not latest view,US (United States)
Aniketh,01/05/21 14:19,0:03:34,,Stranger: Season 2: Episode 13,,iPhone 12 Pro,0:04:08,Not latest view,US (United States)
Aniketh,01/05/21 14:01,0:17:37,,Stranger: Season 2: Episode 12,,iPhone 12 Pro,0:59:30,0:59:30,US (United States)
Aniketh,01/05/21 3:38,0:35:59,,Stranger: Season 2: Episode 12,,iPhone 12 Pro,0:45:44,Not latest view,US (United States)
Aniketh,01/05/21 3:26,0:11:56,,Stranger: Season 2: Episode 11,,iPhone 12 Pro,1:00:03,1:00:03,US (United States)
Aniketh,30/04/21 21:47,0:47:38,,Stranger: Season 2: Episode 11,,Apple TV 3 (revised),0:47:37,Not latest view,US (United States)
Aniketh,30/04/21 20:51,0:55:41,,Stranger: Season 2: Episode 10,,Apple TV 3 (revised),1:00:11,1:00:11,US (United States)
Aniketh,30/04/21 1:28,0:03:55,,Stranger: Season 2: Episode 10,,FireTV 4K Stick 2018,0:04:38,Not latest view,US (United States)
Aniketh,30/04/21 0:29,0:58:49,,Stranger: Season 2: Episode 9,,FireTV 4K Stick 2018,0:59:32,0:59:32,US (United States)
Aniketh,30/04/21 0:24,0:05:43,Autoplayed: user action: User_Interaction; ,Stranger: Season 2: Episode 8,,FireTV 4K Stick 2018,1:05:20,1:05:20,US (United States)
Aniketh,29/04/21 23:17,0:59:37,,Stranger: Season 2: Episode 8,,Apple TV 3 (revised),0:59:37,Not latest view,US (United States)
Aniketh,29/04/21 22:39,0:37:36,,Stranger: Season 2: Episode 7,,Apple TV 3 (revised),1:00:07,1:00:07,US (United States)
Aniketh,29/04/21 21:42,0:00:01,,Stranger: Season 2: Episode 7,,iPhone 12 Pro,0:22:35,Not latest view,US (United States)
Aniketh,29/04/21 21:42,0:00:11,,Stranger: Season 2: Episode 8,,iPhone 12 Pro,0:29:31,Not latest view,US (United States)
Aniketh,29/04/21 3:23,0:29:21,,Stranger: Season 2: Episode 8,,Apple TV 3 (revised),0:29:20,Not latest view,US (United States)
Aniketh,29/04/21 2:23,1:00:07,,Stranger: Season 2: Episode 7,,Apple TV 3 (revised),1:00:07,Not latest view,US (United States)
Aniketh,29/04/21 2:04,0:18:39,,Stranger: Season 2: Episode 6,,Apple TV 3 (revised),1:06:02,1:06:02,US (United States)
Aniketh,29/04/21 0:56,0:00:31,Autoplayed: user action: None; ,Memories of the Alhambra: Season 1 (Trailer),TRAILER,iPhone 12 Pro,0:00:31,0:00:31,US (United States)
Aniketh,29/04/21 0:56,0:00:08,Autoplayed: user action: None; ,Memories of the Alhambra: Season 1 (Trailer),TRAILER,iPhone 12 Pro,0:00:08,Not latest view,US (United States)
Aniketh,29/04/21 0:55,0:00:09,Autoplayed: user action: None; ,Season 1 Trailer: Mystic Pop-up Bar,TRAILER,iPhone 12 Pro,0:00:09,0:00:09,US (United States)
Aniketh,29/04/21 0:55,0:00:24,Autoplayed: user action: None; ,Memories of the Alhambra: Season 1 (Trailer),TRAILER,iPhone 12 Pro,0:00:25,Not latest view,US (United States)
Aniketh,29/04/21 0:54,0:00:24,Autoplayed: user action: None; ,Crash Landing on You: Season 1_CLIP_MUSIC_NON1,HOOK,iPhone 12 Pro,0:00:24,0:00:24,US (United States)
Aniketh,29/04/21 0:52,0:00:13,Autoplayed: user action: None; ,Itaewon Class: Season 1_CLIP_MUSIC_NON1,HOOK,iPhone 12 Pro,0:00:14,0:00:14,US (United States)
Aniketh,29/04/21 0:51,0:00:14,Autoplayed: user action: None; ,Vincenzo: Season 1_hook_primary_16x9,HOOK,iPhone 12 Pro,0:00:15,0:00:15,US (United States)
Aniketh,29/04/21 0:51,0:00:17,Autoplayed: user action: None; ,It's Okay to Not Be Okay: Season 1_CLIP_MUSIC_NON1,HOOK,iPhone 12 Pro,0:00:17,Not latest view,US (United States)
Aniketh,29/04/21 0:37,0:47:25,,Stranger: Season 2: Episode 6,,Apple TV 3 (revised),0:45:20,Not latest view,US (United States)
Aniketh,28/04/21 0:10,0:00:02,,Stranger: Season 2: Episode 6,,iPhone 12 Pro,0:00:02,Not latest view,US (United States)
Aniketh,27/04/21 23:59,0:10:42,,Stranger: Season 2: Episode 5,,iPhone 12 Pro,1:00:55,1:00:55,US (United States)
